NU_ANO_CENSO|CO_IES|NO_IES|SG_IES|CO_MANTENEDORA|NO_MANTENEDORA|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_REGIAO|CO_UF|CO_MUNICIPIO|IN_CAPITAL|QT_TEC_TOTAL|QT_TEC_FUNDAMENTAL_INCOMP_FEM|QT_TEC_FUNDAMENTAL_INCOMP_MASC|QT_TEC_FUNDAMENTAL_COMP_FEM|QT_TEC_FUNDAMENTAL_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_ASSINA_OUTRA_BASE|IN_REPOSITORIO_INSTITUCIONAL|IN_BUSCA_INTEGRADA|IN_SERVICO_INTERNET|IN_PARTICIPA_REDE_SOCIAL|IN_CATALOGO_ONLINE|QT_PERIODICO_ELETRONICO|QT_LIVRO_ELETRONICO|TP_REFERENTE|VL_RECEITA_PROPRIA|VL_RECEITA_TRANSFERENCIA|VL_RECEITA_OUTRA|VL_DESPESA_PESSOAL_DOCENTE|VL_DESPESA_PESSOAL_TECNICO|VL_DESPESA_PESSOAL_ENCARGO|VL_DESPESA_CUSTEIO|VL_DESPESA_INVESTIMENTO|VL_DESPESA_PESQUISA|VL_DESPESA_OUTRA
2018|2478|FACULDADE DE INTEGRAÇÃO DO ENSINO SUPERIOR DO CONE SUL|FISUL|1619|INESCO - INSTITUTO DE ENSINO SUPERIOR DO CONE SUL LTDA - EPP|4|3|4|43|4308607|0|12|1|0|2|1|0|0|4|1|3|0|0|0|0|0|0||0|0|0|1|0|1|168|0|1|3734804.46|0.00|0.00|702182.06|509462.38|680135.55|1843024.37|0.00|0.00|0.00
2018|2488|FACULDADE ANGLICANA DE ERECHIM|FAE|1623|LEGIAO DA CRUZ DE ERECHIM|5|3|4|43|4307005|0|45|1|1|2|0|10|3|11|2|5|2|3|5|0|0|0||0|0|1|1|1|0|163|1|2|4145529.36|0.00|76659.30|1215141.38|1103431.93|444183.55|1878533.48|0.00|0.00|1178374.35
2018|2485|FACULDADE CATÓLICA DE FORTALEZA|FCF|1624|ARQUIDIOCESE DE FORTALEZA|5|3|2|23|2304400|1|17|0|0|0|0|4|2|2|1|8|0|0|0|0|0|0||0|1|1|1|1|0|0|10|2|3317759.73|0.00|118914.02|1314588.00|772248.00|744662.07|607355.79|0.00|35060.00|9957.89
2018|2497|CENTRO UNIVERSITÁRIO ATENEU||1629|SOCIEDADE EDUCACIONAL EDICE PORTELA LTDA|4|2|2|23|2304400|1|388|3|7|8|14|102|95|55|39|28|16|7|9|3|2|0||1|0|0|1|1|0|0|5600|2|44177800.14|0.00|655492.41|7432242.84|7132723.32|8692025.86|4959654.77|3539893.84|0.00|7866544.76
2018|2499|FASS - FACULDADE SOCIAL SUL AMERICANA||1632|UNIFASS SISTEMA DE ENSINO LTDA - EPP|4|3|2|29|2919207|0|36|0|2|0|0|8|4|13|5|0|0|2|2|0|0|0||1|0|1|1|1|0|8|7000|2|3702652.8|0.00|0.00|932521.08|472283.44|283830.48|504084.00|0.00|24000.00|0.00
2018|2500|FACULDADE EINSTEIN||1633|SOCIEDADE SOTEROPOLITANA DE ENSINO PESQUISA E EXTENSAO LTDA - ME|4|3|2|29|2927408|1|144|5|5|10|10|15|15|25|25|7|7|5|5|5|5|1||1|1|1|1|1|1|20|20|1|1|0.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00
2018|2513|Faculdade Positivo Londrina|FPL|1638|CESA - COMPLEXO DE ENSINO SUPERIOR ARTHUR THOMAS S/S LTDA - ME|4|3|4|41|4113700|0|39|1|0|4|2|12|5|7|6|2|0|0|0|0|0|1||1|0|0|1|0|1|317|1970|2|7197390.72|0.00|0.00|2089268.03|1537406.84|1961505.72|3836827.80|1379009.98|214477.17|0.00
2018|2521|INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ|ISESPI|1644|GEBASPI - GRUPO DE EDUCACAO BASICA E SUPERIOR DO SUL DO PIAUI S/C LTDA - ME|4|3|2|22|2202307|0|8|2|1|0|0|3|0|1|0|1|0|0|0|0|0|1||0|1|0|1|1|0|7|0|1|1008350|0.00|0.00|174100.00|65000.00|74350.00|250000.00|235000.00|94000.00|115000.00
2018|2532|FACULDADE DO SUDESTE GOIANO|FASUG|1650|FACULDADE DO SUDESTE GOIANO LTDA - EPP|4|3|5|52|5217401|0|5|0|0|0|0|0|0|1|2|2|0|0|0|0|0|0||1|1|0|1|1|0|1500|8200|1|2381087.48|0.00|31060.66|884702.01|82354.55|281458.09|180935.00|2948.00|0.00|0.00
2018|2536|FACULDADE RORAIMENSE DE ENSINO SUPERIOR|FARES|1653|DISTRIBUIDORA DE DERIVADOS DE PETROLEO PINHEIRO LTDA|4|3|1|14|1400100|1|59|1|5|4|3|7|6|6|6|14|2|1|2|0|2|0||0|0|1|1|1|1|0|2000|2|2610524.42|0.00|0.00|718707.06|408652.62|473035.87|50617.06|0.00|25324.00|285127.19
2018|2537|FACULDADE SÃO GERALDO|FSG|1654|ESCOLA SAO GERALDO LTDA|4|3|3|32|3201308|0|65|0|2|2|6|15|13|3|13|1|4|5|1|0|0|0||1|1|1|1|1|0|227|9472|1|20672826.98|0.00|562026.80|1708520.18|628755.19|2112548.83|1419034.47|469399.76|0.00|5153690.46
2018|2538|FACULDADE VENDA NOVA DO IMIGRANTE|FAVENI|1655|INSTITUTO DE EDUCACAO SECULO XXI EIRELI - EPP|4|3|3|32|3205069|0|18|0|0|0|0|3|1|3|1|4|1|3|0|2|0|0||0|1|1|1|1|1|20|10000|2|4281625.19|387090.91|99.42|739307.08|598310.37|2656409.39|897235.91|0.00|182637.61|274100.47
2018|2554|FACULDADE DE EDUCAÇÃO SANTA TEREZINHA|FEST|1664|ROZA MARIA SOARES DA SILVA - ME|4|3|2|21|2105302|0|55|1|2|4|2|14|8|8|4|4|3|3|2|0|0|0||0|0|1|1|1|1|10|0|2|9796963.9|0.00|0.00|3188416.08|1003736.69|1820866.49|458888.32|0.00|0.00|2260827.29
2018|2560|FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA|FAESF/UNEF|1667|UNEF UNIDADE DE ENSINO SUPERIOR DE FEIRA DE SANTANA LTDA|4|3|2|29|2910800|0|112|3|2|7|10|21|20|27|6|3|0|5|6|1|1|0||1|0|0|1|1|0|6017|7483|2|18503031.14|0.00|401247.58|3200409.10|1388875.91|2080286.88|1842984.22|2557629.98|118633.10|1902960.14
2018|2568|FACULDADE ZACARIAS DE GÓES|FAZAG|1668|SOCIEDADE EDUCACIONAL ZACARIAS DE GOES VASCONCELOS LTDA.|5|3|2|29|2932903|0|26|0|0|1|1|10|7|5|1|1|0|0|0|0|0|0||1|0|0|1|1|1|190|0|1|6180886.17|0.00|0.00|1294119.43|450128.49|965842.71|1322252.47|1069055.18|525207.95|0.00
2018|12229|FACULDADE DE TECNOLOGIA FAESA - VILA VELHA|CETFAESA|1669|JAPANN SERVICOS EDUCACIONAIS LTDA|4|3|3|32|3205200|0|9|1|1|0|0|1|1|2|0|1|1|0|1|0|0|0||0|1|1|1|1|1|380|8000|1|2118002.6|0.00|1790854.23|333667.97|357397.38|456379.47|346992.41|0.00|0.00|2407511.32
2018|2569|FACULDADE DE TECNOLOGIA FAESA|CET-FAESA|1669|JAPANN SERVICOS EDUCACIONAIS LTDA|4|3|3|32|3205309|1|12|1|1|0|0|1|1|2|3|1|1|0|1|0|0|0||0|1|1|1|1|1|380|8000|1|2118002.6|0.00|1790854.23|333667.97|357397.38|456379.47|346992.41|0.00|0.00|2407511.32
2018|20090|FACULDADE REDENTOR METROPOLITANA|FACREDENTOR|1671|SOCIEDADE UNIVERSITARIA REDENTOR|5|3|3|33|3304144|0|20|0|0|0|0|4|1|1|0|3|5|3|1|1|1|0||1|0|1|1|1|1|2300|11223|1|109307428.77|0.00|6067563.11|25556198.98|3033843.35|12238030.30|19502560.60|6654879.43|11628138.57|34025405.40
2018|2571|CENTRO UNIVERSITÁRIO REDENTOR|FACREDENTOR|1671|SOCIEDADE UNIVERSITARIA REDENTOR|5|2|3|33|3302205|0|620|1|0|2|7|115|86|101|92|49|57|40|42|10|18|0||1|0|1|1|1|1|2300|11223|1|109307428.77|0.00|6067563.11|25556198.98|3033843.35|12238030.30|19502560.60|6654879.43|11628138.57|34025405.40
2018|17933|FACULDADE REDENTOR DE PARAÍBA DO SUL|FACREDENTOR|1671|SOCIEDADE UNIVERSITARIA REDENTOR|5|3|3|33|3303708|0|47|0|0|0|0|3|0|5|3|3|7|10|8|6|2|0||1|0|1|1|1|1|2300|11223|1|109307428.77|0.00|6067563.11|25556198.98|3033843.35|12238030.30|19502560.60|6654879.43|11628138.57|34025405.40
2018|14342|FACULDADE REDENTOR DE CAMPOS|FACREDENTOR|1671|SOCIEDADE UNIVERSITARIA REDENTOR|5|3|3|33|3301009|0|107|0|0|0|0|4|2|11|7|7|14|25|21|6|10|0||1|0|1|1|1|1|2300|11223|1|109307428.77|0.00|6067563.11|25556198.98|3033843.35|12238030.30|19502560.60|6654879.43|11628138.57|34025405.40
2018|2572|FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS|FAC|1672|INSTITUTO DE ENSINO SUPERIOR DE CANDEIAS LTDA - ME|4|3|2|29|2906501|0|28|2|1|9|4|4|2|3|0|3|0|0|0|0|0|1||1|1|1|1|1|1|30|12000|2|1550291.51|0.00|0.00|390307.13|244880.29|361921.60|0.00|0.00|0.00|0.00
2018|2573|FACULDADE TEOLÓGICA SUL AMERICANA|FTSA|1673|ASSOCIACAO CRISTA EVANGELICA SUL AMERICANA|5|3|4|41|4113700|0|24|0|0|2|2|3|4|7|5|1|0|0|0|0|0|1||0|0|1|1|1|1|20|0|1|5897874.85|0.00|637635.64|1216985.48|1131470.90|1638941.86|2701343.17|0.00|0.00|0.00
2018|22197|FACULDADE ATENAS PASSOS||1675|CENTRO EDUCACIONAL HYARTE-ML LTDA|4|3|3|31|3147907|0|56|1|1|2|2|3|3|4|4|5|5|6|6|7|7|0||1|0|0|0|1|0|1500|17000|2|3989088|0.00|54000.06|428582.51|235783.76|220976.65|136077.94|11597.63|1639.00|25309.89
2018|2579|CENTRO UNIVERSITÁRIO ATENAS|UniAtenas|1675|CENTRO EDUCACIONAL HYARTE-ML LTDA|4|2|3|31|3147006|0|252|1|0|4|0|49|9|84|18|25|24|18|11|5|4|1||1|1|1|1|1|1|235|50|2|73047798.42|0.00|2069580.93|16276143.19|8954275.65|9811591.07|11790846.27|969918.27|1133989.51|1923308.09
2018|22194|FACULDADE ATENAS SETE LAGOAS||1675|CENTRO EDUCACIONAL HYARTE-ML LTDA|4|3|3|31|3167202|0|28|1|0|1|1|8|8|5|0|3|0|0|0|1|0|0||1|0|0|0|1|0|1500|17000|2|5146132.09|0.00|94117.59|461635.72|253967.63|252514.14|387175.94|8198.24|7928.09|75869.16
2018|2581|FACULDADE SÃO SALVADOR|FSS|1676|SEEB - SOCIEDADE DE ESTUDOS EMPRESARIAIS AVANCADOS DA BAHIA LTDA|4|3|2|29|2927408|1|132|0|1|8|5|51|43|16|5|3|0|0|0|0|0|0||1|0|0|1|1|0|22|9500|2|16807622.52|0.00|0.00|1605951.89|473907.48|1289512.82|6634735.95|241329.38|0.00|2510362.78
2018|2582|FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ|UCP|1677|UB - UCP EDUCACIONAL S.A.|5|3|4|41|4119608|0|39|0|0|1|4|2|1|2|2|10|11|3|1|2|0|0||1|1|1|1|1|1|5070|30000|1|7186966.31|110763.51|0.00|1711169.73|632898.40|890947.44|288397.11|1019068.93|16113.13|2000456.59
2018|2593|FACULDADE DE JUAZEIRO DO NORTE|FJN|1684|COLEGIO CULTURAL MODULO LTDA - EPP|4|3|2|23|2307304|0|74|0|0|0|0|18|15|16|3|14|7|1|0|0|0|1||1|1|1|1|1|1|65|3500|1|16445180.04|0.00|112367.27|7648410.52|1680057.00|2980182.59|506110.00|810040.10|780420.80|169494.15
